ContentId,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-8900110000000000000,Banking Needs a Customer Experience Wake-Up Call (ID: -8900113512825364282),Confused by blockchains? Revolution vs Evolution (ID: 2916072977192006313),Making open source data more available (ID: 2625883933130361261),The AI business landscape (ID: 7395435905985567130),Goodbye accountants! Startup builds AI to automate all your accounting (ID: -6820241302436968068),"Within a Decade, Retail Banks will be Dead (ID: -8854146354650101086)"
-8854150000000000000,"Within a Decade, Retail Banks will be Dead (ID: -8854146354650101086)",Here's proof that Google is getting serious about battling Facebook in a key area (ID: -7331393944609614247),Banking Needs a Customer Experience Wake-Up Call (ID: -8900113512825364282),The AI business landscape (ID: 7395435905985567130),"No, Apple isn't the next BlackBerry - it's the next Microsoft (ID: -3750879736572068916)",Touch (TV Series 2012-2013) (ID: -7399665664688732365)
-8813720000000000000,Itaú é pioneiro do blockchain (ID: -8813724423497152538),"Elopar lança o ""Digio"", cartão para brigar com Nubank (ID: -8243488279185272615)",Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk (ID: -2539915991213675511),Confused by blockchains? Revolution vs Evolution (ID: 2916072977192006313),Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com (ID: -9019582414165805420),Banking Needs a Customer Experience Wake-Up Call (ID: -8900113512825364282)
-8800030000000000000,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack (ID: -8800029253812071912)","Deep-learning algorithm predicts photos' memorability at ""near-human"" levels (ID: -3161714324304758767)",Ordering coffee in Italy: the 10 commandments (ID: -1313614305945895108),WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday (ID: -8189315446782327370),Joel on Software (ID: -3027055440570405664),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts (ID: -330801551666885085)"
-8771340000000000000,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab (ID: -8771338872124599367),The AI business landscape (ID: 7395435905985567130),"Hello, TensorFlow! (ID: -5253644367331262405)","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel (ID: -7126520323752764957)",Wide & Deep Learning: Better Together with TensorFlow (ID: 7155061818771055780),Why Google App Engine rocks: A Google engineer's take (ID: 4118743389464105405)
-8757700000000000000,Promises | Web Fundamentals - Google Developers (ID: -8757701761088346244),Effective learning through code workshops | Box Blog (ID: -4754223659064624252),The Business Case for Progressive Web Apps (ID: -1111518890369033396),Scrum Community - Scrum Alliance (ID: 564282370384747453),19 Tips For Everyday Git Use (ID: 8712996026808754180),The Difference Between Sympathy And Empathy - Expanded Consciousness (ID: 5227822864949117283)
-8742650000000000000,Aposta na inovação (ID: -8742648016180281673),O que é liderança? Liderança é fazer a diversidade funcionar. (ID: -6584408680441477889),"Little girls doubt that women can be brilliant, study shows (ID: 6463551093741815202)",The brilliant mechanics of Pokémon Go (ID: 1356221992133852808),De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho? (ID: -7527881206365368),Google employees are adding 'Lady' to their job titles to fight sexism (ID: 5302085907556673015)
-8717950000000000000,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current (ID: -8717945432162716060),Introduction · Bitcoin para Programadores (ID: 4428409432282393251),How Coca-Cola Is Harvesting Innovation Energy From Startups (ID: -5736221996280340620),Campus São Paulo: conheça a primeira turma do Programa de Residentes (ID: 39554158227241538),Live asynchronously. (ID: -4996336942690402156),"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com (ID: -6058152698516590252)"
-8657420000000000000,WebAssembly Browser Preview (ID: -8657415528200615063),Acesse a versão Material Design do YouTube | Google Discovery (ID: 8589361101754366293),"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro (ID: 8912004903894879756)",How I sped up the initial render of my Polymer app by 86% (ID: -4027027091658759481),Squads não-suicidas - Hipsters #08 (ID: -3716447017462787559),Progressive Web App - first introduced on Google I/O | airberlin (ID: -1453783314552286835)
-8627050000000000000,When to make a Git Commit (ID: -8627051188605351707),Sam Newman - Backends For Frontends (ID: 5424502143558028097),"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery (ID: 5087084654882097891)",Seniority (ID: -6728844082024523434),The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove (ID: -6707474286910397949),Firebase Test Lab for Android (ID: -1995591062742965408)
-8618420000000000000,What the Google I/O schedule tells us about the future of Android (ID: -8618420761918493321),"Bots, Messenger and the future of customer service (ID: -8279505492976427918)",Seria Stranger Things uma obra de arte do algoritmo da Netflix? (ID: 1005751836898964351),Designing smart notifications (ID: -1901742495252324928),"Google acquires Synergyse, an interactive training service for Google Apps (ID: 1318981494172475806)",Progressive Web App - first introduced on Google I/O | airberlin (ID: -1453783314552286835)
-8606060000000000000,"Kotlin in Production - What works, Whats broken (ID: -8606063418076691067)",Combining Spring Boot and JDBI (ID: 7202701636941380671),Introducing Kotlin support in Spring Framework 5.0 (ID: 4891010769166501207),Standing on the Shoulders of Giants - Built to Adapt (ID: -4831310174172854034),Building Flipkart Lite: A Progressive Web App (ID: 3142843830268077617),The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture (ID: 4165127518659426948)
-8518100000000000000,"Microsoft adquire LinkedIn por US$ 26,2 bilhões (ID: -8518096793350810174)",Staying one step ahead at Pixar: An interview with Ed Catmull (ID: 6152652267138213180),"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads (ID: -2855910583928922225)",A digital crack in banking's business model (ID: 7516228655554309785),Joel on Software (ID: -3027055440570405664),Ordering coffee in Italy: the 10 commandments (ID: -1313614305945895108)
-8512460000000000000,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers (ID: -8512461968928613053),The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove (ID: -6707474286910397949),SOA com microserviços - Sensedia (ID: -2740396993975951758),"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce (ID: -7463305179076477879)",Who sponsors Drupal development? | Dries Buytaert (ID: -5198756378866433953),Google is quietly recording everything you say. Here's how to hear it (ID: 5875183869203898283)
-8511290000000000000,Dark Scrum (ID: -8511291357261863413),Post: Just Say mNo to Hungarian Notation (ID: 5008913705695203000),Sam Newman - Backends For Frontends (ID: 5424502143558028097),Alecrim/AlecrimCoreData (ID: -4974757204495953627),The Importance of Code Reviews (ID: 7534917347133949300),Firebase Test Lab for Android (ID: -1995591062742965408)
-8508610000000000000,Revista PROGRAMAR nº 53 - Agosto de 2016 (ID: -8508606815368130888),The technology behind preview photos (ID: -8954346068661072425),Inteligência artificial da IBM criou 'trailer perfeito' para filme (ID: -8381230866408697127),1º Congresso Brasileiro de IoT - Embarcados (ID: 4045164454094417310),Aplicativos do Android agora podem reagir com o ambiente | Google Discovery (ID: 8835339470389644264),Evernote anuncia integração com Google Drive | Google Discovery (ID: 1031060816592502094)
-8467100000000000000,Creating Your Code Review Checklist - DaedTech (ID: -8467102776052559275),The Importance of Code Reviews (ID: 7534917347133949300),On DRY and the cost of wrongful abstractions (ID: 7985545205318799060),StrictMode for Runtime Analysis on Android - Google Developers (ID: 4300652811307550975),My favorite people and resources to learn Android programming from (ID: -7518373517401484139),Angular 2 versus React: There Will Be Blood - Free Code Camp (ID: -7387185690512762935)
-8404660000000000000,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos (ID: -8404657131309965885),Inbox by Gmail ganha formatação de texto | Google Discovery (ID: 7400903238402587728),Como a Microsoft está trabalhando com o conceito de IoT - Startupi (ID: -5255285107284514595),Par de alianças impede que seu parceiro assista Netflix sem você (ID: 6783622248311192269),"No, Apple isn't the next BlackBerry - it's the next Microsoft (ID: -3750879736572068916)",Making open source data more available (ID: 2625883933130361261)
-8381230000000000000,Inteligência artificial da IBM criou 'trailer perfeito' para filme (ID: -8381230866408697127),Burger King aceita pedidos via mensagens no Facebook - Startupi (ID: 911037455259135591),Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery (ID: -3348652277274905234),Nova pulseira tecnológica avisa se você já bebeu demais (ID: -8948234514303933700),"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim! (ID: 1577045425286888616)",1º Congresso Brasileiro de IoT - Embarcados (ID: 4045164454094417310)
-8377630000000000000,Bad Writing Is Destroying Your Company's Productivity (ID: -8377626164558006982),Text summarization with TensorFlow (ID: 6340108943344143104),AI Is Here to Help You Write Emails People Will Actually Read (ID: 621816023396605502),Algorithms and architecture for job recommendations (ID: -4944551138301474550),The AI business landscape (ID: 7395435905985567130),How Mark Zuckerberg Led Facebook's War to Crush Google Plus (ID: 3320201327008235211)
-8370740000000000000,Mobile banking conquista o coração dos brasileiros (ID: -8370744479086515302),CMN regulamenta abertura de conta de depósito por meio eletrônico (ID: -7613994611628693820),Nubank começa a testar seu programa de fidelidade - Empresas Tech (ID: -2720012228333470715),"Say goodbye to traditional customer segmentation "" Banking Technology (ID: -4700714777342103147)",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão (ID: 5719793245136119929),Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com (ID: -9019582414165805420)
-8369610000000000000,Nintendo has doubled in value since Pokémon Go's release (ID: -8369610219380465981),The Internet of Things is looking for its VisiCalc (ID: 5018472516978866574),How enterprise architects can help ensure success with digital transformations (ID: -2554512494756911972),Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real... (ID: 5092635400707338872),Piloto de caça criado por inteligência artificial vence humano em combate simulado (ID: 3825866166263569974),Machine Learning Is Redefining The Enterprise In 2016 (ID: 1415230502586719648)
-8340370000000000000,big data = real time (ID: -8340365043226490059),Why the customer experience matters (ID: 7606744605433799135),Qual é a real diferença entre Data Storytelling e análise de dados? - CIO (ID: -3071732669882279801),Organizing for digital acceleration: Making a two-speed IT operating model work (ID: -8187220755213888616),Design Sprint: onde o design e a velocidade importam (ID: 8938071859536254465),A saga do jovem CEO da Dasa (ID: -5843518165523212471)
-8314630000000000000,Hacked Website Report - 2016/Q3 (ID: -8314629309720421219),Most Interesting APIs in 2016: Cognitive Computing (ID: 428486625959995206),"Docker - Build, Ship, and Run Any App, Anywhere (ID: -1999468346928419252)",Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz (ID: 1580124381109623727),Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com (ID: -655909700262679295),Visa lança desafio para startups de tecnologia - Startupi (ID: -3875881534863988868)
-8287400000000000000,Containers are not VMs (ID: -8287402887944984163),"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery (ID: 5087084654882097891)",19 Tips For Everyday Git Use (ID: 8712996026808754180),CSS Containment in Chrome 52 | Web Updates - Google Developers (ID: -2808969983997441543),14 Cool Drupal 8 modules for site builders | August 2016 (ID: 6384824828701919724),An overview of web service solutions in Drupal 8 (ID: 7277161137091492767)
-8279510000000000000,"Bots, Messenger and the future of customer service (ID: -8279505492976427918)",What the Google I/O schedule tells us about the future of Android (ID: -8618420761918493321),"Google acquires Synergyse, an interactive training service for Google Apps (ID: 1318981494172475806)",Building more accessible technology (ID: -6347212504547574224),Progressive Web App - first introduced on Google I/O | airberlin (ID: -1453783314552286835),Designing smart notifications (ID: -1901742495252324928)
-8258530000000000000,Vision API - Image Content Analysis (ID: -8258529658421542282),Modelando APIs REST com Swagger (ID: 3906974906788964502),Comparing React.js to Vue.js for dynamic tabular data (ID: -240359174314633445),Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema (ID: -3675009040647936899),Labelling automated builds on Docker Hub - Microscaling Systems (ID: 672199059798181601),Quick Tip: Working with the JavaScript Battery API (ID: -2328163218997425612)
-8243490000000000000,"Elopar lança o ""Digio"", cartão para brigar com Nubank (ID: -8243488279185272615)",Visa lança desafio para startups de tecnologia - Startupi (ID: -3875881534863988868),Bradesco vai lançar novo banco digital: o Next. (ID: 6540624159201421051),Itaú é pioneiro do blockchain (ID: -8813724423497152538),Goodbye accountants! Startup builds AI to automate all your accounting (ID: -6820241302436968068),Nubank pode fechar as portas se BC confirmar mudança amanhã (ID: -1663441888197894674)
-8208800000000000000,Ray Kurzweil: The world isn't getting worse - our information is getting better (ID: -8208801367848627943),So you want to sell to banks? (ID: 834896074125772354),Time to Re-Think Design Thinking (ID: 8428597553954921991),How to Get a Job at Google (ID: 5338677278233757627),Introducing New Relic Infrastructure (ID: 3099207916247126790),Jeff Seguros: SEGUROS E GAMES (ID: -559964548932224920)
-8204820000000000000,"curso de branding, diferenciação e estratégia de marca (ID: -8204817396973648779)",Designer Creates 13 Perfect Circles to Draw Almost Any Animal (ID: 2124033843135988844),Branding é problema seu. E meu. (ID: 6829640091575814990),The future of the shopping mall (ID: 1436883058900979473),Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi (ID: -3102446808559723934),Shopping app Spring's redesign could be a game-changer (ID: 7459726589306441015)
-8190930000000000000,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC (ID: -8190931845319543363),Why Netflix thinks its personalized recommendation engine is worth $1 billion per year (ID: -1556169727291354289),"DARPA Goes ""Meta"" with Machine Learning for Machine Learning (ID: -377975173223377441)","Hello, TensorFlow! (ID: -5253644367331262405)",Google researchers teach AIs to see the important parts of images - and tell you about them (ID: 430255078684584595),Why Google App Engine rocks: A Google engineer's take (ID: 4118743389464105405)
-8189320000000000000,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday (ID: -8189315446782327370),Ordering coffee in Italy: the 10 commandments (ID: -1313614305945895108),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts (ID: -330801551666885085)",Joel on Software (ID: -3027055440570405664),What to Expect at WWDC 2016 (ID: -799315203186826480),"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads (ID: -2855910583928922225)"
-8187220000000000000,Organizing for digital acceleration: Making a two-speed IT operating model work (ID: -8187220755213888616),Why Deep Learning Is Suddenly Changing Your Life (ID: 6678691743269420670),big data = real time (ID: -8340365043226490059),Qual é a real diferença entre Data Storytelling e análise de dados? - CIO (ID: -3071732669882279801),Accenture amplia atuação no Brasil (ID: 6941466664989793964),Especial: O papel dos grandes provedores de TI na Rio 2016 (ID: 6615662748793536194)
-8159730000000000000,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic (ID: -8159730897893673528)",WeChat's competitor to Slack has arrived (ID: 6850500272809381909),WeChat's world (ID: 1734266821019430183),"How I built an app with 500,000 users in 5 days on a $100 server (ID: 4259370161044254504)",Nintendo has doubled in value since Pokémon Go's release (ID: -8369610219380465981),Multi-Channel Marketing in 2015 - It's not rocket science. (ID: 156889606517612871)
-8142430000000000000,A identidade visual de Budapeste para as Olimpíadas de 2024 (ID: -8142426490949346803),"Margaret Gould Stewart: How giant websites design for you (and a billion others, too) (ID: 5688279681867464747)",Sete Reinos (ID: -7812176982819372240),Designer Creates 13 Perfect Circles to Draw Almost Any Animal (ID: 2124033843135988844),A nova sede da LEGO na Dinamarca é toda sobre colaboração (ID: 358192030955601318),Usability Heuristics for Bots - Chatbots Magazine (ID: 8118799783881928573)
-8085940000000000000,Graph Capabilities with the Elastic Stack (ID: -8085935119790093311),Google's Cloud Machine Learning service is now in public beta (ID: -9033211547111606164),Machine Learning Is No Longer Just for Experts (ID: 5258604889412591249),Algorithms and architecture for job recommendations (ID: -4944551138301474550),How Mark Zuckerberg Led Facebook's War to Crush Google Plus (ID: 3320201327008235211),Scala is the new golden child (ID: -5363263367015469934)
-8043890000000000000,Dicas avançadas de ruby (capybara/cucumber) (ID: -8043889175123948305),Top 5 Android Testing Frameworks with Examples (ID: 1768976290984301641),"Espresso Intents: não é magia, é tecnologia! - Android Dev BR (ID: -7423191370472335463)",Promoting gender equality through emoji �� �� (ID: -5848514031542611523),Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog (ID: 2229625391864201918),"Agile is Dead, Long Live Continuous Delivery - Gradle (ID: 4069333494579100211)"
-8018190000000000000,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce (ID: -8018192200278263695),Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso (ID: 4313871021753084020),Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly (ID: 5940374562401786524),"Como o e-commerce brasileiro pode, enfim, começar a lucrar (ID: 1012456848389051365)",Não existe frete grátis! (ID: -3170783292462058942),Microservices testing (ID: -78066964941874046)
-7986980000000000000,It's The Future (ID: -7986975759046428357),Google's Cloud Machine Learning service is now in public beta (ID: -9033211547111606164),Using behavioral data to improve customer satisfaction (ID: -4024778022934140027),Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC (ID: -8190931845319543363),Scala is the new golden child (ID: -5363263367015469934),How Netflix does A/B Testing - uxdesign.cc - User Experience Design (ID: 2468005329717107277)
-7891290000000000000,Sobre o Hipsters Ponto Tech (ID: -7891293130731329672),Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly (ID: 5940374562401786524),Usando o git add interativo (ID: -7294716554902079523),Microservices - When to React Vs. Orchestrate - Capital One DevExchange (ID: -3482581255202910790),Aplicações da Inteligência artificial | Endeavor Brasil (ID: -5403733687257676872),On DRY and the cost of wrongful abstractions (ID: 7985545205318799060)
-7862680000000000000,11 incredible ways UK businesses are using chatbots (ID: -7862677531530632089),"Telecoms open shop on Madison Avenue, but will brands buy? (ID: 7823781477664935857)",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source (ID: -4050006690189978332),Accidental discovery could help batteries last years longer (ID: -1730766821655383888),Bots won't replace apps. Better apps will replace apps. (ID: 3035329611795434601),Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design (ID: -1590585250246572231)
-7838000000000000000,Festival de Fotografia Hercule Florence - Timeline | Facebook (ID: -7838000919054582150),Sete Reinos (ID: -7812176982819372240),A identidade visual de Budapeste para as Olimpíadas de 2024 (ID: -8142426490949346803),Why Deep Learning Is Suddenly Changing Your Life (ID: 6678691743269420670),Branding é problema seu. E meu. (ID: 6829640091575814990),Duolingo's chatbots help you learn a new language (ID: 660451400045043370)
-7826210000000000000,Ciclistas relatam roubos com agressividade na avenida dos Andradas (ID: -7826213337362450520),How it feels to learn Javascript in 2016 (ID: -5920475612630001479),Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack (ID: 2930191803881821526),Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js (ID: -3666646454167334466),"contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object (ID: 8962537427807366481)",Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com (ID: 667643281369196267)
-7812180000000000000,Sete Reinos (ID: -7812176982819372240),Goodbye accountants! Startup builds AI to automate all your accounting (ID: -6820241302436968068),Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com (ID: -9019582414165805420),Festival de Fotografia Hercule Florence - Timeline | Facebook (ID: -7838000919054582150),A identidade visual de Budapeste para as Olimpíadas de 2024 (ID: -8142426490949346803),Branding é problema seu. E meu. (ID: 6829640091575814990)
-7809510000000000000,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks (ID: -7809508238092432842)",Ordering coffee in Italy: the 10 commandments (ID: -1313614305945895108),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts (ID: -330801551666885085)",Joel on Software (ID: -3027055440570405664),WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday (ID: -8189315446782327370),What to Expect at WWDC 2016 (ID: -799315203186826480)
